REF_DATE,GEO,Type of crop,Average farm price (dollars per tonne),Average yield (kilograms per hectare),Production (metric tonnes),Seeded area (acres),Seeded area (hectares),Total farm value (dollars)
1912,CA,Buckwheat,29,1420,229000,398700,161350,6544
1912,CA,Corn for grain,24,3565,430100,298000,120700,10534
1912,CA,Corn for silage,0.54,22660,2756000,299400,121650,14977
1912,CA,Flaxseed,36,810,663800,2021900,817000,23608
1912,CA,Mixed grains,29,1750,351000,496500,200800,10194
1912,CA,Oats,21,1500,6039750,9966000,4032900,126304
1912,CA,"Peas, dry",46,1010,106450,259600,105200,4944
1912,CA,"Rye, all",28,1210,62000,127000,51200,1755
1912,CA,Sugar beets,0.55,23700,182400,18900,7700,1005
1912,CA,Tame hay,1.22,3330,11251000,8376400,3383000,137761
1912,CA,"Wheat, all",23,1370,6101350,10996700,4449450,139090
1912,MA,Barley,17,1770,345000,481000,195000,5855
1912,MA,Corn for silage,1.22,16890,76000,11000,4500,924
1912,MA,Flaxseed,41,795,31800,100000,40000,1302
1912,MA,Mixed grains,22,2335,1400,1500,600,31
1912,MA,Oats,18,1615,881000,1348000,546000,16003
1912,MA,"Peas, dry",60,1250,250,400,200,15
1912,MA,"Rye, all",20,1500,3000,5000,2000,61
1912,MA,Tame hay,1.04,4050,243000,154500,60000,2520
1912,MA,"Wheat, all",25,1495,1715000,2839000,1149000,42221
1912,MP,Barley,32,1550,7900,12700,5100,253
1912,MP,Mixed grains,28,2120,10800,12700,5100,297
1912,MP,Oats,31,1305,250350,475000,192200,7868
1912,MP,Tame hay,1.26,3330,1780000,1317000,534000,22447
1912,MP,"Wheat, all",35,1255,29450,58000,23450,1022
1912,NB,Barley,31,1455,1600,2700,1100,49
1912,NB,"Beans, all dry (white and coloured)",120,1500,150,300,100,18
1912,NB,Buckwheat,28,1315,34050,64000,25900,969
1912,NB,Corn for silage,0.8,10000,1000,200,100,8
1912,NB,Mixed grains,38,1375,550,1000,400,21
1912,NB,Oats,34,1095,86450,195000,78900,2972
1912,NB,"Peas, dry",60,1000,250,600,250,15
1912,NB,"Rye, all",0,0,0,0,0,0
1912,NB,Tame hay,1.12,3310,808000,602000,244000,9018
1912,NB,"Wheat, all",28,1220,6400,13000,5250,177
1912,NS,Barley,35,1550,3100,5000,2000,110
1912,NS,"Beans, all dry (white and coloured)",92,1855,650,900,350,60
1912,NS,Buckwheat,30,1450,6450,11000,4450,192
1912,NS,Corn for silage,0.54,20000,5000,600,250,27
1912,NS,Mixed grains,33,1905,3050,4000,1600,102
1912,NS,Oats,34,1245,50400,100000,40450,1732
1912,NS,"Peas, dry",60,1500,150,200,100,9
1912,NS,"Rye, all",40,1000,100,300,100,4
1912,NS,Tame hay,1.41,3540,747000,521000,211000,10545
1912,NS,"Wheat, all",40,1370,7200,13000,5250,286
1912,ON,Barley,28,1585,328600,512000,207200,9207
1912,ON,"Beans, all dry (white and coloured)",78,1170,21800,46000,18600,1706
1912,ON,Buckwheat,26,1440,118950,204000,82600,3060
1912,ON,Corn for grain,24,3700,418000,279000,113000,10044
1912,ON,Corn for silage,0.53,23880,2436000,251000,102000,12997
1912,ON,Flaxseed,63,1000,3650,9000,3650,231
1912,ON,Mixed grains,28,1845,276700,371000,150100,7862
1912,ON,Oats,27,1330,1496800,2785000,1127000,39792
1912,ON,"Peas, dry",43,1005,91850,226000,91450,3914
1912,ON,"Rye, all",29,1155,43500,93000,37600,1283
1912,ON,Sugar beets,0.55,24700,170600,17000,6900,938
1912,ON,Tame hay,1.33,3690,5096000,3413000,1381000,67566
1912,ON,"Wheat, all",34,1375,474500,855000,345600,15937
1912,ON,"Wheat, spring",32,1265,61500,120000,48600,1987
1912,ON,"Wheat, winter remaining",34,1390,413000,,,13950
1912,PP,Barley,16,1770,689000,960000,389000,11060
1912,PP,Corn for silage,1.2,15190,79000,12900,5200,950
1912,PP,Flaxseed,35,810,659900,2012000,813000,23362
1912,PP,Mixed grains,23,1960,4900,6300,2500,114
1912,PP,Oats,16,1720,3737000,5365000,2171000,59267
1912,PP,"Peas, dry",43,1335,800,1300,600,34
1912,PP,"Rye, all",22,1555,14000,22700,9000,304
1912,PP,Sugar beets,0.57,14700,11800,1900,800,67
1912,PP,Tame hay,1,4090,613000,389200,150000,6148
1912,PP,"Wheat, all",22,1375,5560000,10011000,4051000,120590
1912,PEI,Barley,29,1600,3200,5000,2000,94
1912,PEI,Buckwheat,29,2000,2200,2700,1100,64
1912,PEI,Corn for silage,0.3,2000,2000,300,100,6
1912,PEI,Mixed grains,24,2325,7200,7700,3100,174
1912,PEI,Oats,28,1560,113500,180000,72850,3164
1912,PEI,"Peas, dry",40,1000,50,100,50,2
1912,PEI,Tame hay,1.28,2850,225000,194000,79000,2884
1912,PEI,"Wheat, all",35,1225,15850,32000,12950,559
1912,QU,Barley,36,1275,48500,94000,38000,1759
1912,QU,"Beans, all dry (white and coloured)",93,1150,2300,5000,2000,214
1912,QU,Buckwheat,34,1425,67350,117000,47300,2259
1912,QU,Corn for grain,40,1570,12100,19000,7700,490
1912,QU,Corn for silage,0.42,16670,230000,34000,13800,962
1912,QU,Flaxseed,60,715,250,900,350,15
1912,QU,Mixed grains,33,1350,56800,104000,42100,1864
1912,QU,Oats,35,985,516900,1296000,524500,18099
1912,QU,"Peas, dry",75,1005,12200,30000,12150,911
1912,QU,"Rye, all",37,980,4400,11000,4500,164
1912,QU,Tame hay,1.03,2740,3449000,3111500,1259000,35579
1912,QU,"Wheat, all",43,1090,26500,60000,24300,1149
1912,SK,Barley,15,1770,209000,292000,118000,3166
1912,SK,Corn for silage,0.8,400,2000,1300,500,16
1912,SK,Flaxseed,35,815,585100,1780000,720000,20503
1912,SK,Mixed grains,29,1875,1500,2000,800,44
1912,SK,Oats,15,1755,1813000,2556000,1034000,27033
1912,SK,"Peas, dry",37,1500,300,400,200,11
1912,SK,"Rye, all",32,1000,1000,2700,1000,32
1912,SK,Tame hay,0.87,4200,84000,54400,20000,728
1912,SK,"Wheat, all",21,1290,2911000,5582000,2259000,59910
1913,AB,Barley,14,1725,138000,197000,80000,1964
1913,AB,Corn for silage,1,10000,2000,600,200,20
1913,AB,Flaxseed,47,700,29300,105000,42000,1374
1913,AB,Mixed grains,17,1875,1500,2000,800,25
1913,AB,Oats,16,1665,1103000,1639000,663000,17170
1913,AB,"Peas, dry",35,1000,200,500,200,7
1913,AB,"Rye, all",18,1665,10000,16000,6000,183
1913,AB,Sugar beets,0.55,11400,9100,2000,800,50
1913,AB,Tame hay,0.95,3890,272000,185000,70000,2596
1913,AB,"Wheat, all",22,1530,935000,1512000,612000,21009
1913,BC,Barley,32,1900,1900,2500,1000,60
1913,BC,"Beans, all dry (white and coloured)",90,1335,200,400,150,18
1913,BC,Corn for silage,1.2,15000,3000,400,200,36
1913,BC,Mixed grains,17,3150,3150,2500,1000,54
1913,BC,Oats,38,2115,41500,48500,19600,1561
1913,BC,"Peas, dry",56,1900,950,1300,500,53
1913,BC,"Rye, all",0,0,0,0,0,0
1913,BC,Tame hay,1.85,5020,306000,151700,61000,5656
1913,BC,"Wheat, all",37,1980,10500,13000,5300,386
1913,CA,Barley,19,1610,1051700,1613000,652900,20144
1913,CA,"Beans, all dry (white and coloured)",69,1155,21750,46600,18800,1505
1913,CA,Buckwheat,29,1185,182300,380700,154050,5320
1913,CA,Corn for grain,25,3795,425900,278000,112300,10781
1913,CA,Corn for silage,0.53,19340,2374000,303600,122750,12506
1913,CA,Flaxseed,38,710,445500,1552800,628150,17084
1913,CA,Mixed grains,27,1680,322250,473800,191700,8685
1913,CA,Oats,21,1480,6240300,10434000,4222550,128893
1913,CA,"Peas, dry",41,1215,107550,219000,88650,4382
1913,CA,"Rye, all",26,1240,59000,119300,47500,1524
1913,CA,Sugar beets,0.67,19500,134300,17000,6900,906
1913,CA,Tame hay,1.27,3010,10066000,8262300,3346000,127506
1913,CA,"Wheat, all",25,1415,6305250,11015000,4458150,156462
1913,MA,Barley,16,1545,311000,496000,201000,4864
1913,MA,Corn for silage,0.93,18000,81000,11000,4500,757
1913,MA,Flaxseed,41,730,16100,54000,22000,664
1913,MA,Mixed grains,15,1335,800,1500,600,12
1913,MA,Oats,18,1545,875000,1398000,566000,15893
1913,MA,"Peas, dry",0,0,0,0,0,0
1913,MA,"Rye, all",20,1500,3000,5000,2000,60
1913,MA,Tame hay,0.96,3260,228000,166000,70000,2191
1913,MA,"Wheat, all",26,1280,1451000,2804000,1135000,37858
1913,MP,Barley,31,1500,6900,11500,4600,217
1913,MP,Mixed grains,26,1885,9800,12800,5200,259
1913,MP,Oats,30,1230,237200,476500,192850,7049
1913,MP,Tame hay,1.23,3300,1736000,1298000,526000,21408
1913,MP,"Wheat, all",39,1350,31650,58000,23450,1233
1913,NB,Barley,32,1600,1600,2500,1000,51
1913,NB,"Beans, all dry (white and coloured)",110,1000,100,300,100,11
1913,NB,Buckwheat,25,1500,38800,64000,25900,962
1913,NB,Corn for silage,0.25,20000,2000,200,100,5
1913,NB,Mixed grains,30,1500,600,1000,400,18
1913,NB,Oats,33,1160,91700,195000,78900,3032
1913,NB,"Peas, dry",53,1500,300,500,200,16
1913,NB,"Rye, all",0,0,0,0,0,0
1913,NB,Tame hay,1.2,2710,633000,577000,234000,7615
1913,NB,"Wheat, all",41,1390,7300,13000,5250,301
1913,NS,Barley,35,1450,2900,5000,2000,101
1913,NS,"Beans, all dry (white and coloured)",88,1715,600,900,350,53
1913,NS,Buckwheat,30,1360,6050,11000,4450,183
1913,NS,Corn for silage,0.5,16000,4000,600,250,20
1913,NS,Mixed grains,32,1815,2900,4000,1600,93
1913,NS,Oats,34,1235,50750,101500,41100,1744
1913,NS,"Peas, dry",60,2000,200,200,100,12
1913,NS,"Rye, all",40,2000,200,300,100,8
1913,NS,Tame hay,1.27,3700,795000,531000,215000,10135
1913,NS,"Wheat, all",42,1380,7250,13000,5250,304
1913,ON,Barley,26,1620,317600,485000,196300,8170
1913,ON,"Beans, all dry (white and coloured)",66,1125,18200,40000,16200,1199
1913,ON,Buckwheat,28,1030,80300,193000,78100,2213
1913,ON,Corn for grain,25,3915,411000,260000,105000,10195
1913,ON,Corn for silage,0.5,19790,2038000,255000,103000,10246
1913,ON,Flaxseed,55,1455,4150,7000,2850,228
1913,ON,Mixed grains,26,1735,246900,352000,142400,6412
1913,ON,Oats,25,1425,1621800,2814000,1138800,39960
1913,ON,"Peas, dry",36,1215,93400,190000,76900,3397
1913,ON,"Rye, all",27,1155,39800,85000,34400,1081
1913,ON,Sugar beets,0.68,20500,125200,15000,6100,856
1913,ON,Tame hay,1.22,2720,3720000,3381000,1368000,45552
1913,ON,"Wheat, all",31,1570,540400,850000,343900,16896
1913,ON,"Wheat, spring",32,1325,59400,111000,44900,1877
1913,ON,"Wheat, winter remaining",31,1610,481000,,,15019
1913,PP,Barley,15,1630,676000,1025000,415000,9954
1913,PP,Corn for silage,0.93,17550,93000,13200,5300,865
1913,PP,Flaxseed,38,705,441100,1545000,625000,16838
1913,PP,Mixed grains,17,1775,3900,5500,2200,68
1913,PP,Oats,16,1595,3738000,5792000,2344000,61591
1913,PP,"Peas, dry",33,1000,400,900,400,13
1913,PP,"Rye, all",18,1665,15000,24000,9000,270
1913,PP,Sugar beets,0.55,11400,9100,2000,800,50
1913,PP,Tame hay,0.94,3570,607000,414600,170000,5684
1913,PP,"Wheat, all",24,1400,5694000,10036000,4062000,136672
1913,PEI,Barley,27,1500,2400,4000,1600,65
1913,PEI,Buckwheat,30,1275,1400,2700,1100,42
1913,PEI,Corn for silage,0.27,3000,3000,300,100,8
1913,PEI,Mixed grains,23,1970,6300,7800,3200,148
1913,PEI,Oats,24,1300,94750,180000,72850,2273
1913,PEI,"Peas, dry",60,1000,50,100,50,3
1913,PEI,Tame hay,1.19,4000,308000,190000,77000,3658
1913,PEI,"Wheat, all",37,1320,17100,32000,12950,628
1913,QU,Barley,35,1370,49300,89000,36000,1743
1913,QU,"Beans, all dry (white and coloured)",85,1325,2650,5000,2000,224
1913,QU,Buckwheat,34,1255,55750,110000,44500,1920
1913,QU,Corn for grain,39,2040,14900,18000,7300,586
1913,QU,Corn for silage,0.57,16740,231000,34000,13800,1326
1913,QU,Flaxseed,72,835,250,800,300,18
1913,QU,Mixed grains,32,1430,58500,101000,40900,1892
1913,QU,Oats,31,1140,601800,1303000,527300,18732
1913,QU,"Peas, dry",72,1165,12250,26000,10500,888
1913,QU,"Rye, all",41,1000,4000,10000,4000,165
1913,QU,Tame hay,1.33,3030,3697000,3017000,1221000,49206
1913,QU,"Wheat, all",44,1220,28700,58000,23500,1275
1913,SK,Barley,14,1695,227000,332000,134000,3126
1913,SK,Corn for silage,0.88,1667,10000,1600,600,88
1913,SK,Flaxseed,37,705,395700,1386000,561000,14800
1913,SK,Mixed grains,19,2000,1600,2000,800,31
1913,SK,Oats,16,1580,1760000,2755000,1115000,28528
1913,SK,"Peas, dry",30,1000,200,400,200,6
1913,SK,"Rye, all",14,2000,2000,3000,1000,27
1913,SK,Tame hay,0.84,3570,107000,63600,30000,897
1913,SK,"Wheat, all",24,1430,3308000,5720000,2315000,77805
1914,AB,Barley,23,1460,105000,178000,72000,2451
1914,AB,Corn for silage,0.3,6670,2000,800,300,6
1914,AB,Flaxseed,41,490,15600,80000,32000,645
1914,AB,Mixed grains,23,2145,1500,1800,700,34
1914,AB,Oats,27,1445,880000,1502000,608000,23972
1914,AB,"Peas, dry",60,1000,200,500,200,12
1914,AB,"Rye, all",26,1285,9000,16400,7000,238
1914,AB,Sugar beets,0.6,12500,500,100,40,3
1914,AB,Tame hay,0.95,3810,305000,187400,80000,2891
1914,AB,"Wheat, all",34,1415,785000,1371100,555000,26403
1914,BC,Barley,42,1910,2100,2600,1100,89
1914,BC,"Beans, all dry (white and coloured)",0,0,0,0,0,0
1914,BC,Corn for silage,0.6,15000,3000,400,200,18
1914,BC,Mixed grains,50,2945,2800,2400,950,140
1914,BC,Oats,40,2135,48900,56700,22900,1966
1914,BC,"Peas, dry",54,1835,1100,1400,600,59
1914,BC,"Rye, all",0,0,0,0,0,0
1914,BC,Tame hay,1.7,5150,345000,166500,67000,5851
1914,BC,"Wheat, all",45,1960,10000,12500,5100,453
1914,CA,Barley,27,1305,788800,1495600,604500,21557
1914,CA,"Beans, all dry (white and coloured)",85,1225,21650,43800,17700,1844
1914,CA,Buckwheat,33,1310,187800,354400,143400,6213
1914,CA,Corn for grain,28,3410,354100,256000,103900,9808
1914,CA,Corn for silage,0.54,22980,2950000,317000,128350,15950
1914,CA,Flaxseed,40,415,182250,1084000,438450,7368
1914,CA,Mixed grains,32,1785,334350,463300,187550,10759
1914,CA,Oats,31,1185,4828100,10061500,4072400,151811
1914,CA,"Peas, dry",54,1100,91450,205600,83300,4895
1914,CA,"Rye, all",33,1130,51200,111300,45300,1679
1914,CA,Sugar beets,0.66,19900,98500,12100,4940,651
1914,CA,Tame hay,1.57,2900,9506000,8087200,3281000,149091
1914,CA,"Wheat, all",36,1055,4389200,10293900,4165600,158236
1914,MA,Barley,25,1130,214000,468000,189000,5405
1914,MA,Corn for silage,0.84,12260,65000,13000,5300,547
1914,MA,Flaxseed,43,540,8600,40000,16000,372
1914,MA,Mixed grains,23,1000,600,1500,600,14
1914,MA,Oats,31,915,493000,1331000,539000,15336
1914,MA,"Peas, dry",0,0,0,0,0,0
1914,MA,"Rye, all",30,1500,3000,5000,2000,90
1914,MA,Tame hay,1.02,2730,191000,166500,70000,1952
1914,MA,"Wheat, all",37,990,1051000,2616000,1059000,38963
1914,MP,Barley,38,1590,7000,11000,4400,265
1914,MP,Mixed grains,30,2085,10850,12700,5200,324
1914,MP,Oats,35,1380,270600,484800,196200,9585
1914,MP,Tame hay,1.49,3650,1896000,1281000,519000,28240
1914,MP,"Wheat, all",41,1550,35500,56600,22900,1473
1914,NB,Barley,52,1475,1400,2400,950,73
1914,NB,"Beans, all dry (white and coloured)",113,1500,150,300,100,17
1914,NB,Buckwheat,28,1420,36700,63800,25800,1028
1914,NB,Corn for silage,0.66,9000,0,100,50,3
1914,NB,Mixed grains,32,1500,600,1000,400,19
1914,NB,Oats,38,1235,100050,200000,80950,3828
1914,NB,"Peas, dry",56,1250,250,500,200,14
1914,NB,"Rye, all",0,0,0,0,0,0
1914,NB,Tame hay,1.37,3050,705000,571000,231000,9689
1914,NB,"Wheat, all",48,1245,6350,12600,5100,304
1914,NS,Barley,39,1540,3000,4800,1950,116
1914,NS,"Beans, all dry (white and coloured)",110,1665,500,800,300,55
1914,NS,Buckwheat,33,1395,5650,10000,4050,186
1914,NS,Corn for silage,0.6,20000,4000,500,200,24
1914,NS,Mixed grains,35,1845,2950,3900,1600,103
1914,NS,Oats,40,1295,53400,101800,41200,2111
1914,NS,"Peas, dry",90,1000,100,200,100,9
1914,NS,"Rye, all",50,1000,100,300,100,5
1914,NS,Tame hay,1.6,4230,888000,518000,210000,14196
1914,NS,"Wheat, all",46,1475,7150,12000,4850,328
1914,ON,Barley,29,1630,304500,461000,186600,8952
1914,ON,"Beans, all dry (white and coloured)",82,1210,18600,38000,15400,1532
1914,ON,Buckwheat,32,1260,89650,176000,71200,2883
1914,ON,Corn for grain,27,3515,341000,239000,97000,9253
1914,ON,Corn for silage,0.52,24560,2653000,267000,108000,13801
1914,ON,Flaxseed,67,1000,2150,5300,2150,143
1914,ON,Mixed grains,31,1850,257400,344000,139200,7945
1914,ON,Oats,32,1335,1533000,2840000,1149300,48706
1914,ON,"Peas, dry",48,1075,77950,179000,72450,3780
1914,ON,"Rye, all",33,1080,34100,78000,31600,1140
1914,ON,Sugar beets,0.66,20000,98000,12000,4900,648
1914,ON,Tame hay,1.64,2600,3405000,3232000,1308000,55971
1914,ON,"Wheat, all",40,1425,480800,834400,337300,19051
1914,ON,"Wheat, spring",39,1265,54800,107000,43300,2153
1914,ON,"Wheat, winter remaining",40,1450,426000,,,16898
1914,PP,Barley,24,1125,426000,936000,378000,10307
1914,PP,Corn for silage,0.79,11410,73000,15700,6400,577
1914,PP,Flaxseed,40,415,179900,1078000,436000,7209
1914,PP,Mixed grains,23,1285,2700,5200,2100,63
1914,PP,Oats,29,1075,2326000,5353000,2167000,67125
1914,PP,"Peas, dry",60,1000,200,500,200,12
1914,PP,"Rye, all",28,1300,13000,24000,10000,364
1914,PP,Sugar beets,0.6,12500,500,100,40,3
1914,PP,Tame hay,0.94,3390,611000,425700,180000,5752
1914,PP,"Wheat, all",35,1015,3836000,9335400,3778000,135922
1914,PEI,Barley,29,1735,2600,3800,1500,76
1914,PEI,Buckwheat,32,1760,1850,2600,1050,60
1914,PEI,Corn for silage,0.5,2000,2000,300,100,10
1914,PEI,Mixed grains,28,2280,7300,7900,3200,202
1914,PEI,Oats,31,1580,117150,183000,74050,3646
1914,PEI,"Peas, dry",60,2000,100,100,50,6
1914,PEI,Tame hay,1.44,3880,303000,192000,78000,4355
1914,PEI,"Wheat, all",38,1700,22000,32000,12950,841
1914,QU,Barley,40,1430,49200,85000,34400,1944
1914,QU,"Beans, all dry (white and coloured)",100,1265,2400,4700,1900,240
1914,QU,Buckwheat,38,1305,53950,102000,41300,2056
1914,QU,Corn for grain,42,1900,13100,17000,6900,555
1914,QU,Corn for silage,0.71,16040,215000,33000,13400,1517
1914,QU,Flaxseed,80,665,200,700,300,16
1914,QU,Mixed grains,38,1510,60600,99000,40100,2287
1914,QU,Oats,38,1210,649600,1327000,537000,24429
1914,QU,"Peas, dry",86,1210,11750,24000,9700,1015
1914,QU,"Rye, all",43,1110,4000,9000,3600,170
1914,QU,Tame hay,1.64,2690,3249000,2982000,1207000,53277
1914,QU,"Wheat, all",50,1205,26900,55000,22300,1337
1914,SK,Barley,23,915,107000,290000,117000,2451
1914,SK,Corn for silage,0.4,750,6000,1900,800,24
1914,SK,Flaxseed,40,400,155700,958000,388000,6192
1914,SK,Mixed grains,25,750,600,1900,800,15
1914,SK,Oats,29,935,953000,2520000,1020000,27817
1914,SK,"Peas, dry",0,0,0,0,0,0
1914,SK,"Rye, all",36,1000,1000,2600,1000,36
1914,SK,Tame hay,0.79,3830,115000,71800,30000,909
1914,SK,"Wheat, all",35,925,2000000,5348300,2164000,70556
1915,AB,Barley,20,1740,214000,304000,123000,4340
1915,AB,Corn for silage,0.75,6670,2000,700,300,15
1915,AB,Flaxseed,57,895,17000,48000,19000,967
1915,AB,Mixed grains,26,1800,1800,2400,1000,46
1915,AB,Oats,20,1750,1294000,1827100,739000,25533
1915,AB,"Peas, dry",70,1000,100,200,100,7
1915,AB,"Rye, all",23,1665,10000,16000,6000,232
1915,AB,Sugar beets,0,0,0,0,0,0
1915,AB,Tame hay,0.84,3210,257000,204600,80000,2153
1915,AB,"Wheat, all",32,2095,1811000,2138000,865000,58326
1915,BC,Barley,30,2090,2300,2600,1100,68
1915,BC,"Beans, all dry (white and coloured)",0,0,0,0,0,0
1915,BC,Corn for silage,0.44,25000,5000,400,200,22
1915,BC,Mixed grains,25,2000,2100,2600,1050,52
1915,BC,Oats,32,2360,67700,71000,28700,2151
1915,BC,"Peas, dry",46,2100,1050,1300,500,48
1915,BC,"Rye, all",0,0,0,0,0,0
1915,BC,Tame hay,1.61,5470,394000,179100,72000,6335
1915,BC,"Wheat, all",35,2200,14300,16000,6500,494
1915,CA,Barley,24,1695,1176150,1718400,694550,27986
1915,CA,"Beans, all dry (white and coloured)",112,1125,19650,43300,17500,2207
1915,CA,Buckwheat,35,1230,171300,343800,139150,5913
1915,CA,Corn for grain,28,3555,364900,253300,102600,10243
1915,CA,Corn for silage,0.54,22810,3069000,332500,134550,16613
1915,CA,Flaxseed,59,830,155250,463400,187250,9210
1915,CA,Mixed grains,28,1890,357400,467000,189050,10062
1915,CA,Oats,24,1535,7171100,11555700,4675750,171009
1915,CA,"Peas, dry",61,1190,94550,196100,79350,5724
1915,CA,"Rye, all",30,1285,63200,121700,49200,1922
1915,CA,Sugar beets,0.61,17500,127900,18000,7300,776
1915,CA,Tame hay,1.58,3100,9864000,7875500,3186000,155840
1915,CA,"Wheat, all",33,1750,10711050,15109400,6114150,356817
1915,MA,Barley,23,1585,363000,567100,229000,8420
1915,MA,Corn for silage,0.69,5810,18000,7600,3100,124
1915,MA,Flaxseed,64,500,3000,14500,6000,193
1915,MA,Mixed grains,28,1335,400,700,300,11
1915,MA,Oats,23,1470,783000,1317400,533000,17913
1915,MA,"Peas, dry",0,0,0,0,0,0
1915,MA,"Rye, all",33,1000,5000,11500,5000,167
1915,MA,Tame hay,1.06,2150,86000,92100,40000,910
1915,MA,"Wheat, all",33,1665,1887000,2800400,1133000,62663
1915,MP,Barley,36,1415,6150,10700,4350,219
1915,MP,Mixed grains,30,1865,9700,13000,5200,289
1915,MP,Oats,33,1190,244900,509000,205950,8190
1915,MP,Tame hay,1.48,3610,1905000,1305000,528000,28119
1915,MP,"Wheat, all",42,1275,31750,61700,24950,1340
1915,NB,Barley,39,1235,1050,2100,850,41
1915,NB,"Beans, all dry (white and coloured)",153,1500,150,300,100,23
1915,NB,Buckwheat,34,1220,28650,58000,23450,960
1915,NB,Corn for silage,0.2,20000,1000,100,50,2
1915,NB,Mixed grains,36,1570,550,900,350,20
1915,NB,Oats,36,1055,85750,201000,81350,3058
1915,NB,"Peas, dry",85,1335,200,400,150,17
1915,NB,"Rye, all",0,0,0,0,0,0
1915,NB,Tame hay,1.54,3120,718000,569000,230000,11074
1915,NB,"Wheat, all",46,1285,7250,14000,5650,335
1915,NS,Barley,37,1400,2800,4900,2000,103
1915,NS,"Beans, all dry (white and coloured)",143,1335,400,800,300,57
1915,NS,Buckwheat,33,1170,4850,10200,4150,160
1915,NS,Corn for silage,0.8,10000,2000,500,200,16
1915,NS,Mixed grains,35,1725,2850,4100,1650,99
1915,NS,Oats,38,1190,53800,112000,45300,2058
1915,NS,"Peas, dry",70,1000,100,200,100,7
1915,NS,"Rye, all",50,1000,100,300,100,5
1915,NS,Tame hay,1.47,3990,869000,538000,218000,12770
1915,NS,"Wheat, all",45,1240,6700,13300,5400,299
1915,ON,Barley,26,1840,334600,449000,181700,8607
1915,ON,"Beans, all dry (white and coloured)",110,1070,16300,37500,15200,1800
1915,ON,Buckwheat,32,1175,80250,169000,68400,2580
1915,ON,Corn for grain,27,3665,352000,237000,96000,9674
1915,ON,Corn for silage,0.52,23860,2768000,287000,116000,14523
1915,ON,Flaxseed,69,775,1550,5000,2000,107
1915,ON,Mixed grains,26,2015,281000,345000,139600,7435
1915,ON,Oats,25,1510,1894000,3095000,1252500,47896
1915,ON,"Peas, dry",57,1195,81850,169000,68400,4631
1915,ON,"Rye, all",31,1245,39400,78000,31600,1225
1915,ON,Sugar beets,0.61,17500,127900,18000,7300,776
1915,ON,Tame hay,1.55,3020,3838000,3142000,1272000,59382
1915,ON,"Wheat, all",34,1865,823600,1093000,442000,28216
1915,ON,"Wheat, spring",35,1500,73600,121000,49000,2598
1915,ON,"Wheat, winter remaining",34,1910,750000,,,25618
1915,PP,Barley,22,1660,784000,1171100,473000,17152
